ticker,date,alpha_score,comp_rsi,comp_macd,comp_bb,comp_momentum,comp_volatility,comp_volume
AAPL,2024-06-20,44.0,50.0,20.0,50.0,50.0,50.0,50.0
AAPL,2024-06-21,44.0,50.0,20.0,50.0,50.0,50.0,50.0
AAPL,2024-06-24,44.0,50.0,20.0,50.0,50.0,50.0,50.0
AAPL,2024-06-25,44.0,50.0,20.0,50.0,50.0,50.0,50.0
AAPL,2024-06-26,56.0,50.0,80.0,50.0,50.0,50.0,50.0
AAPL,2024-06-27,56.0,50.0,80.0,50.0,50.0,50.0,50.0
AAPL,2024-06-28,56.0,50.0,80.0,50.0,50.0,50.0,50.0
AAPL,2024-07-01,56.0,50.0,80.0,50.0,50.0,50.0,50.0
AAPL,2024-07-02,56.0,50.0,80.0,50.0,50.0,50.0,50.0
AAPL,2024-07-03,56.0,50.0,80.0,50.0,50.0,50.0,50.0
AAPL,2024-07-05,56.0,50.0,80.0,50.0,50.0,50.0,50.0
AAPL,2024-07-08,56.0,50.0,80.0,50.0,50.0,50.0,50.0
AAPL,2024-07-09,56.0,50.0,80.0,50.0,50.0,50.0,50.0
AAPL,2024-07-10,56.0,50.0,80.0,50.0,50.0,50.0,50.0
AAPL,2024-07-11,46.4,18.0,80.0,50.0,50.0,50.0,50.0
AAPL,2024-07-12,46.4,18.0,80.0,50.0,50.0,50.0,50.0
AAPL,2024-07-15,46.4,18.0,80.0,50.0,50.0,50.0,50.0
AAPL,2024-07-16,46.4,18.0,80.0,50.0,50.0,50.0,50.0
AAPL,2024-07-17,53.6,42.0,80.0,50.0,50.0,50.0,50.0
AAPL,2024-07-18,56.8,52.0,80.0,52.0,50.0,50.0,46.0
AAPL,2024-07-19,47.8,52.0,20.0,52.0,60.0,65.0,46.0
AAPL,2024-07-22,47.8,52.0,20.0,52.0,60.0,65.0,46.0
AAPL,2024-07-23,44.8,42.0,20.0,52.0,60.0,65.0,46.0
AAPL,2024-07-24,50.4,52.0,20.0,68.0,60.0,55.0,54.0
AAPL,2024-07-25,49.0,52.0,20.0,68.0,53.0,55.0,46.0
AAPL,2024-07-26,49.0,52.0,20.0,68.0,53.0,55.0,46.0
AAPL,2024-07-29,49.5,52.0,20.0,68.0,60.0,55.0,35.0
AAPL,2024-07-30,50.0,52.0,20.0,68.0,53.0,65.0,46.0
AAPL,2024-07-31,46.8,52.0,20.0,52.0,53.0,65.0,46.0
AAPL,2024-08-01,49.5,52.0,20.0,68.0,47.0,65.0,54.0
AAPL,2024-08-02,49.9,52.0,20.0,68.0,47.0,65.0,62.0
AAPL,2024-08-05,57.1,68.0,20.0,90.0,38.0,55.0,70.0
AAPL,2024-08-06,56.3,68.0,20.0,90.0,38.0,55.0,54.0
AAPL,2024-08-07,54.3,68.0,20.0,80.0,38.0,55.0,54.0
AAPL,2024-08-08,46.7,52.0,20.0,68.0,38.0,55.0,46.0
AAPL,2024-08-09,43.5,52.0,20.0,52.0,38.0,55.0,46.0
AAPL,2024-08-12,43.0,52.0,20.0,52.0,38.0,55.0,35.0
AAPL,2024-08-13,43.5,52.0,20.0,52.0,38.0,55.0,46.0
AAPL,2024-08-14,52.5,42.0,80.0,52.0,38.0,55.0,46.0
AAPL,2024-08-15,52.0,42.0,80.0,38.0,53.0,55.0,46.0
AAPL,2024-08-16,49.3,42.0,80.0,25.0,53.0,55.0,46.0
AAPL,2024-08-19,52.0,42.0,80.0,38.0,53.0,55.0,46.0
AAPL,2024-08-20,48.8,42.0,80.0,25.0,53.0,55.0,35.0
AAPL,2024-08-21,53.5,42.0,80.0,38.0,60.0,65.0,35.0
AAPL,2024-08-22,54.0,42.0,80.0,38.0,60.0,65.0,46.0
AAPL,2024-08-23,54.0,42.0,80.0,38.0,60.0,65.0,46.0
AAPL,2024-08-26,53.5,42.0,80.0,38.0,60.0,65.0,35.0
