ticker,date,alpha_score,rsi,macd_dir,bb_pct,momentum_20,volatility,vol_ratio
NFLX,2026-06-18,58.8,28.0,Bearish,0.103,-12.2,22.2,2.33
INTC,2026-06-18,57.3,64.2,Bullish,1.033,12.6,93.7,1.78
MSFT,2026-06-18,54.7,35.0,Bearish,0.12,-9.7,38.3,1.53
AAPL,2026-06-18,46.6,51.0,Bearish,0.331,-1.4,24.8,1.63
META,2026-06-18,46.5,43.0,Bearish,0.264,-4.5,45.0,1.51
AMZN,2026-06-18,44.3,44.0,Bearish,0.321,-7.8,32.9,1.71
GOOGL,2026-06-18,43.9,49.2,Bearish,0.423,-5.3,29.0,1.36
NVDA,2026-06-18,42.9,50.5,Bearish,0.461,-5.6,45.3,1.37
TSLA,2026-06-18,42.9,47.0,Bearish,0.306,-4.0,45.8,1.24
AMD,2026-06-18,42.5,61.2,Bearish,0.813,20.1,81.7,1.37
