ticker,headline,label,positive,negative,neutral
AAPL,Alphabet makes the Dow look more like the Nasdaq,neutral,0.0895,0.0154,0.8951
AAPL,Big Tech's AI cash cushion is plummeting: Chart of the Day,negative,0.016,0.945,0.039
AAPL,Analysis-Apple-Intel chip deal makes strategic sense but production is years away,neutral,0.041,0.0925,0.8665
AAPL,"Snap Bet $2,195 on the Future of Smart Glasses. Meta Answered With a $244 Version.",neutral,0.1035,0.0136,0.8829
AAPL,Beyond Mag 7: MANGOS or Big-10 ETFs Will Likely Rule Ahead,neutral,0.0427,0.0288,0.9285
AAPL,"Alphabet Stock in Focus as Google Parent Joins Dow, Replacing Verizon",neutral,0.0419,0.2665,0.6916
AAPL,Apple (AAPL) BofA Stays Bullish as Price Increases Could Offset Higher Memory Costs,positive,0.8597,0.1125,0.0277
AAPL,"L8P8, Inc., Introduces Loop8ID, an Age Verification Solution to Support Online Child Safety Laws Wit",neutral,0.3084,0.0098,0.6818
AAPL,Alphabet’s Addition to the Dow Makes Mag 7 Takeover Nearly Complete,neutral,0.1908,0.0156,0.7936
AAPL,How Does Microsoft Turn Cloud Dominance Into $223B For Shareholders?,neutral,0.0513,0.0196,0.9291
AAPL,Alphabet Is In. Verizon Is Out.,neutral,0.0616,0.0508,0.8876
AAPL,Alphabet Wins a Seat at the Dow,neutral,0.2541,0.0394,0.7065
AAPL,Apple supplier Lingyi iTech prices $1.06 billion Hong Kong IPO to tap AI demand,neutral,0.3755,0.0225,0.6021
AAPL,Apple Stock Polishing New Buy Zone With All-Time High In Sight,positive,0.8519,0.032,0.1161
AAPL,UK tribunal greenlights $4bn class action over Apple iCloud,negative,0.0381,0.862,0.0999
AAPL,2 Unpopular Stocks That Deserve a Second Chance and 1 Facing Headwinds,negative,0.0192,0.9314,0.0494
AAPL,Big Tech's $2.7 trillion AI bill comes due: Chart of the Day,neutral,0.0427,0.0297,0.9276
AAPL,1 Striking Reason This Trillion-Dollar Cloud Pioneer Is a Better Artificial Intelligence (AI) Buy Th,neutral,0.3955,0.0096,0.5949
AAPL,BofA Says Apple’s (AAPL) New Siri Strategy Could Strengthen its AI Position,positive,0.9555,0.0147,0.0298
AAPL,Chip Selloff Deepens as AI Doubts Bleed Into a Second Session,negative,0.0596,0.8698,0.0706
