ticker,articles,finbert_score,keyword_score,delta,sentiment,pos_avg,neg_avg,neu_avg,kw_raw
AAPL,249,5.7,6.5,-0.8,0.0427,0.2186,0.1759,0.6055,0.2169
MSFT,248,7.0,6.0,1.0,0.3381,0.4642,0.1261,0.4098,0.121
NVDA,250,6.2,6.0,0.2,0.1578,0.322,0.1642,0.5138,0.116
TSLA,246,5.9,5.6,0.3,0.0948,0.2954,0.2006,0.5039,0.0325
GOOGL,250,6.0,5.8,0.2,0.1137,0.2356,0.1219,0.6425,0.072
AMZN,247,6.2,6.0,0.2,0.1569,0.2667,0.1097,0.6236,0.1174
META,246,5.6,5.8,-0.2,0.023,0.1686,0.1457,0.6857,0.0732
NFLX,98,4.6,5.6,-1.0,-0.2061,0.1531,0.3593,0.4876,0.0306
AMD,201,5.3,6.2,-0.9,-0.0414,0.2866,0.328,0.3853,0.1642
INTC,249,5.3,6.3,-1.0,-0.0375,0.2496,0.2871,0.4634,0.1807
